Date,Publication,Headline,URL,Ideology
2019-01-07,The Guardian,today in focus   is the anti-vaccine movement putting lives at risk?,https://www.theguardian.com/society/audio/2019/jan/07/anti-vaccine-movement-lives-risk-measles-mmr-andrew-wakefield,Liberal
2019-01-07,The Guardian,is the anti-vaccine movement putting lives at risk?,https://www.theguardian.com/society/audio/2019/jan/07/anti-vaccine-movement-lives-risk-measles-mmr-andrew-wakefield,Liberal
2019-01-19,New York Times,the editorial boardhow to inoculate against anti-vaxxers,https://www.nytimes.com/2019/01/19/opinion/vaccines-public-health.html,Liberal
2019-01-31,Daily Mail,"measles reported in georgia, oregon and hawaii amid outbreak across the us fueled by anti-vaxxers",https://www.dailymail.co.uk/health/article-6650537/Authorities-38-sickened-Northwest-measles-outbreak.html,Conservative
2019-02-01,The Guardian,going viral  how facebook and youtube help spread anti-vaccination propaganda,https://www.theguardian.com/media/2019/feb/01/facebook-youtube-anti-vaccination-misinformation-social-media,Liberal
2019-02-01,The Guardian,how facebook and youtube help spread anti-vaccination propaganda,https://www.theguardian.com/media/2019/feb/01/facebook-youtube-anti-vaccination-misinformation-social-media,Liberal
2019-02-02,The Guardian,washington state  measles outbreak sparks concerns over anti-vaccination movement,https://www.theguardian.com/society/2019/feb/02/measles-outbreak-washington-pacific-northwest-anti-vaccination,Liberal
2019-02-02,The Guardian,measles outbreak sparks concerns over anti-vaccination movement,https://www.theguardian.com/society/2019/feb/02/measles-outbreak-washington-pacific-northwest-anti-vaccination,Liberal
2019-02-04,Daily Mail,measles outbreak in washington fueled by anti-vaxxers soars to 50 cases,https://www.dailymail.co.uk/health/article-6666979/Measles-outbreak-Washington-fueled-anti-vaxxers-soars-50-cases.html,Conservative
2019-02-11,Daily Mail,"'god knows how i'm still alive': teenager, 18, finally gets immunized against six diseases and attacks his anti-vaxxer mom for believing the shots cause brain damage and autism - as an outbreak of measles sweep the country",https://www.dailymail.co.uk/news/article-6690963/Teenager-18-finally-gets-vaccinations-attacks-anti-vaxxer-parents.html,Conservative
2019-02-12,Daily Mail,"more than 100 cases of measles confirmed in nationwide outbreak fueled by anti-vaxxers, cdc says",https://www.dailymail.co.uk/health/article-6695579/More-100-cases-measles-confirmed-nationwide-outbreak-fueled-anti-vaxxers-CDC-says.html,Conservative
2019-02-12,The Guardian,facebook  network under pressure to halt rise of anti-vaccination groups,https://www.theguardian.com/technology/2019/feb/12/facebook-anti-vaxxer-vaccination-groups-pressure-misinformation,Liberal
2019-02-12,The Guardian,network under pressure to halt rise of anti-vaccination groups,https://www.theguardian.com/technology/2019/feb/12/facebook-anti-vaxxer-vaccination-groups-pressure-misinformation,Liberal
2019-02-15,Daily Mail,"two upstate new york teenagers, 13 and 15, have been expelled from school after their mother refused to have them vaccinated because of her evangelical 'religious beliefs'",https://www.dailymail.co.uk/news/article-6709275/Two-teenagers-13-15-expelled-mother-refused-vaccinated.html,Conservative
2019-02-15,The Guardian,revealed  facebook enables ads to target users interested in 'vaccine controversies',https://www.theguardian.com/technology/2019/feb/15/facebook-anti-vaccination-advertising-targeting-controversy,Liberal
2019-02-15,The Guardian,facebook enables ads to target users interested in 'vaccine controversies',https://www.theguardian.com/technology/2019/feb/15/facebook-anti-vaccination-advertising-targeting-controversy,Liberal
2019-02-15,The Guardian,measles is on the rise. but telling anti-vaxxers they’re stupid won’t fix it,https://www.theguardian.com/commentisfree/2019/feb/15/measles-anti-vaxxers-communication,Liberal
2019-02-16,Daily Mail,"'this flu season is not mild': public health directors urge americans to get vaccinated as data show 19,000 people have been killed by the virus",https://www.dailymail.co.uk/health/article-6712457/This-flu-season-not-mild-19-000-people-killed-virus-health-directors-say.html,Conservative
2019-02-18,Daily Mail,a vaccine to prevent strep deaths? scientists discover what causes the infection to turn deadly in kids and new mothers - paving the way to a shot,https://www.dailymail.co.uk/health/article-6717667/Scientists-discover-causes-strep-turn-deadly-kids-new-mothers.html,Conservative
2019-02-21,The Guardian,anti-vaccine  propaganda has gone viral on facebook. pinterest has a cure,https://www.theguardian.com/technology/2019/feb/20/pinterest-anti-vaxx-propaganda-search-facebook,Liberal
2019-02-28,The Guardian,anti-vaxx 'mobs'  doctors face harassment campaigns on facebook,https://www.theguardian.com/technology/2019/feb/27/facebook-anti-vaxx-harassment-campaigns-doctors-fight-back,Liberal
2019-03-01,The Guardian,'god knows how i’m alive'  how a teen defied his parents to get vaccinated,https://www.theguardian.com/society/2019/mar/01/teens-breaking-away-anti-vaxxer-family,Liberal
2019-03-01,The Guardian,how a teen defied his parents to get vaccinated,https://www.theguardian.com/society/2019/mar/01/teens-breaking-away-anti-vaxxer-family,Liberal
