Headline,Publication,DateTime,Link,Category,Ideology
"latest covid-19 vaccine offers strong protection against symptomatic infection, including from jn.1, early cdc data shows",CNN,2024-02-01 18:00:00+00:00,https://news.google.com/articles/CBMiWGh0dHBzOi8vd3d3LmNubi5jb20vMjAyNC8wMi8wMS9oZWFsdGgvdXBkYXRlZC1jb3ZpZC12YWNjaW5lLWVmZmVjdGl2ZW5lc3Mtam4xL2luZGV4Lmh0bWzSAVxodHRwczovL2FtcC5jbm4uY29tL2Nubi8yMDI0LzAyLzAxL2hlYWx0aC91cGRhdGVkLWNvdmlkLXZhY2NpbmUtZWZmZWN0aXZlbmVzcy1qbjEvaW5kZXguaHRtbA?hl=en-US&gl=US&ceid=US%3Aen,Health,Liberal
"alternating arms for vaccines may boost your immunity, study says",New York Times,2024-02-06 08:00:00+00:00,https://news.google.com/articles/CBMiRWh0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMjQvMDIvMDYvaGVhbHRoL3ZhY2NpbmVzLWFybXMtaW1tdW5pdHkuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen,Health,Liberal
largest-ever covid vaccine study links shot to small increase in heart and brain conditions,FOX,2024-02-19 20:36:00+00:00,https://news.google.com/articles/CBMicGh0dHBzOi8vd3d3LmZveG5ld3MuY29tL2hlYWx0aC9sYXJnZXN0LWV2ZXItY292aWQtdmFjY2luZS1zdHVkeS1saW5rcy1zaG90LXNtYWxsLWluY3JlYXNlLWhlYXJ0LWJyYWluLWNvbmRpdGlvbnPSAXRodHRwczovL3d3dy5mb3huZXdzLmNvbS9oZWFsdGgvbGFyZ2VzdC1ldmVyLWNvdmlkLXZhY2NpbmUtc3R1ZHktbGlua3Mtc2hvdC1zbWFsbC1pbmNyZWFzZS1oZWFydC1icmFpbi1jb25kaXRpb25zLmFtcA?hl=en-US&gl=US&ceid=US%3Aen,Health,Conservative
what to know about the hpv vaccine and cancer prevention,New York Times,2024-02-22 19:52:59+00:00,https://news.google.com/articles/CBMiRGh0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMjQvMDIvMjIvd2VsbC9saXZlL2hwdi12YWNjaW5lLWNhbmNlci5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen,Health,Liberal
"huge push to get kids vaccinated against illnesses like measles, polio and diphtheria as uptake rates plunge t",Daily Mail,2024-02-29 00:00:00+00:00,https://news.google.com/articles/CBMiZ2h0dHBzOi8vd3d3LmRhaWx5bWFpbC5jby51ay9oZWFsdGgvYXJ0aWNsZS0xMzEzNTUzMy9raWRzLXZhY2NpbmF0ZWQtbWVhc2xlcy1wb2xpby1kaXBodGhlcmlhLUNvdmlkLmh0bWzSAWtodHRwczovL3d3dy5kYWlseW1haWwuY28udWsvaGVhbHRoL2FydGljbGUtMTMxMzU1MzMvYW1wL2tpZHMtdmFjY2luYXRlZC1tZWFzbGVzLXBvbGlvLWRpcGh0aGVyaWEtQ292aWQuaHRtbA?hl=en-US&gl=US&ceid=US%3Aen,Health,Conservative
"vaccines didn't turn back mpox, study finds. people did.",New York Times,2024-02-29 16:00:09+00:00,https://news.google.com/articles/CBMiSWh0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMjQvMDIvMjkvaGVhbHRoL21wb3gtdmFjY2luZXMtZ2F5LWJpc2V4dWFsLmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen,Health,Liberal
cdc recommends additional covid vaccine for adults 65 and over,FOX,2024-03-01 00:33:00+00:00,https://news.google.com/articles/CBMiVWh0dHBzOi8vd3d3LmZveG5ld3MuY29tL2hlYWx0aC9jZGMtcmVjb21tZW5kcy1hZGRpdGlvbmFsLWNvdmlkLXZhY2NpbmUtYWR1bHRzLTY1LW92ZXLSAVlodHRwczovL3d3dy5mb3huZXdzLmNvbS9oZWFsdGgvY2RjLXJlY29tbWVuZHMtYWRkaXRpb25hbC1jb3ZpZC12YWNjaW5lLWFkdWx0cy02NS1vdmVyLmFtcA?hl=en-US&gl=US&ceid=US%3Aen,Health,Conservative
"german man received 217 coronavirus vaccine shots over a 29-month period, study says",FOX,2024-03-06 14:23:00+00:00,https://news.google.com/articles/CBMib2h0dHBzOi8vd3d3LmZveG5ld3MuY29tL3dvcmxkL2dlcm1hbi1tYW4tcmVjZWl2ZWQtMjE3LWNvcm9uYXZpcnVzLXZhY2NpbmUtc2hvdHMtb3Zlci0yOS1tb250aC1wZXJpb2Qtc3R1ZHktc2F5c9IBc2h0dHBzOi8vd3d3LmZveG5ld3MuY29tL3dvcmxkL2dlcm1hbi1tYW4tcmVjZWl2ZWQtMjE3LWNvcm9uYXZpcnVzLXZhY2NpbmUtc2hvdHMtb3Zlci0yOS1tb250aC1wZXJpb2Qtc3R1ZHktc2F5cy5hbXA?hl=en-US&gl=US&ceid=US%3Aen,Headlines,Conservative
cdc urges vaccination amid rise in measles cases in the us and globally,CNN,2024-03-18 19:42:00+00:00,https://news.google.com/articles/CBMiSmh0dHBzOi8vd3d3LmNubi5jb20vMjAyNC8wMy8xOC9oZWFsdGgvbWVhc2xlcy12YWNjaW5lLWNkYy1hbGVydC9pbmRleC5odG1s0gFDaHR0cHM6Ly9hbXAuY25uLmNvbS9jbm4vMjAyNC8wMy8xOC9oZWFsdGgvbWVhc2xlcy12YWNjaW5lLWNkYy1hbGVydA?hl=en-US&gl=US&ceid=US%3Aen,Headlines,Liberal
brazil’s former president jair bolsonaro indicted for allegedly falsifying covid vaccination data,CNN,2024-03-19 19:37:00+00:00,https://news.google.com/articles/CBMiamh0dHBzOi8vd3d3LmNubi5jb20vMjAyNC8wMy8xOS9hbWVyaWNhcy9icmF6aWwtamFpci1ib2xzb25hcm8taW5kaWN0ZWQtY292aWQtdmFjY2luZS1pbnRsLWxhdGFtL2luZGV4Lmh0bWzSAWNodHRwczovL2FtcC5jbm4uY29tL2Nubi8yMDI0LzAzLzE5L2FtZXJpY2FzL2JyYXppbC1qYWlyLWJvbHNvbmFyby1pbmRpY3RlZC1jb3ZpZC12YWNjaW5lLWludGwtbGF0YW0?hl=en-US&gl=US&ceid=US%3Aen,Headlines,Liberal
